DISTRICT,DISTNAME
"220912","CROWLEY ISD"
"254901","CRYSTAL CITY ISD"
"062901","CUERO ISD"
"055901","CULBERSON COUNTY-ALLAMOORE ISD"
"212801","CUMBERLAND ACADEMY"
"112905","CUMBY ISD"
"174902","CUSHING ISD"
"101907","CYPRESS-FAIRBANKS ISD"
"163902","D'HANIS ISD"
"172902","DAINGERFIELD-LONE STAR ISD"
"056901","DALHART ISD"
"057804","DALLAS CAN ACADEMY CHARTER"
"057805","DALLAS COMMUNITY CHARTER SCHOOL"
"057814","DALLAS COUNTY JUVENILE JUSTICE"
"057905","DALLAS ISD"
"020910","DAMON ISD"
"020904","DANBURY ISD"
"148905","DARROUZETT ISD"
"058902","DAWSON ISD"
"175904","DAWSON ISD"
"146902","DAYTON ISD"
"047902","DE LEON ISD"
"249905","DECATUR ISD"
"101908","DEER PARK ISD"
"019901","DEKALB ISD"
"227910","DEL VALLE ISD"
"115903","DELL CITY ISD"
"091903","DENISON ISD"
"061901","DENTON ISD"
"251901","DENVER CITY ISD"
"057906","DESOTO ISD"
"194905","DETROIT ISD"
"146903","DEVERS ISD"
"163901","DEVINE ISD"
"081906","DEW ISD"
"176903","DEWEYVILLE ISD"
"003905","DIBOLL ISD"
"084901","DICKINSON ISD"
"082902","DILLEY ISD"
"144903","DIME BOX ISD"
"035901","DIMMITT ISD"
"133905","DIVIDE ISD"
"074904","DODD CITY ISD"
"108902","DONNA ISD"
"086024","DOSS CONSOLIDATED CSD"
"174911","DOUGLASS ISD"
"178801","DR M L GARZA-GONZALEZ CHARTER SCHO"
"101856","DRAW ACADEMY"
"105904","DRIPPING SPRINGS ISD"
"178905","DRISCOLL ISD"
"072902","DUBLIN ISD"
"171901","DUMAS ISD"
"057907","DUNCANVILLE ISD"
"220918","EAGLE MT-SAGINAW ISD"
"159901","EAGLE PASS ISD"
"227909","EANES ISD"
"025909","EARLY ISD"
"241902","EAST BERNARD ISD"
"015911","EAST CENTRAL ISD"
"036903","EAST CHAMBERS ISD"
"220811","EAST FORT WORTH MONTESSORI ACADEMY"
"092801","EAST TEXAS CHARTER SCHOOLS"
"067903","EASTLAND ISD"
"068901","ECTOR COUNTY ISD"
"074905","ECTOR ISD"
"108903","EDCOUCH-ELSA ISD"
"048901","EDEN CISD"
"227803","EDEN PARK ACADEMY"
"015905","EDGEWOOD ISD"
"234903","EDGEWOOD ISD"
"108904","EDINBURG CISD"
"120901","EDNA ISD"
"057833","EDUCATION CENTER INTERNATIONAL ACA"
"123805","EHRHART SCHOOL"
"241903","EL CAMPO ISD"
"071804","EL PASO ACADEMY"
"071902","EL PASO ISD"
"243902","ELECTRA ISD"
"011902","ELGIN ISD"
"001903","ELKHART ISD"
"102906","ELYSIAN FIELDS ISD"
"070903","ENNIS ISD"
"049906","ERA ISD"
"072802","ERATH EXCELS ACADEMY INC"
"174910","ETOILE ISD"
"030906","EULA ISD"
"107905","EUSTACE ISD"
"121906","EVADALE ISD"
"050901","EVANT ISD"
"220904","EVERMAN ISD"
"057834","EVOLUTION ACADEMY CHARTER SCHOOL"
"101811","EXCEL ACADEMY"
"210906","EXCELSIOR ISD"
"143906","EZZELL ISD"
"071903","FABENS ISD"
"081902","FAIRFIELD ISD"
"057815","FAITH FAMILY ACADEMY OF OAK CLIFF"
"128904","FALLS CITY ISD"
"060914","FANNINDEL ISD"
"043904","FARMERSVILLE ISD"
"185902","FARWELL ISD"
"075906","FAYETTEVILLE ISD"
"070905","FERRIS ISD"
"075901","FLATONIA ISD"
"246902","FLORENCE ISD"
"247901","FLORESVILLE ISD"
"178914","FLOUR BLUFF ISD"
"077901","FLOYDADA ISD"
"057817","FOCUS LEARNING ACADEMY"
"148902","FOLLETT ISD"
"169910","FORESTBURG ISD"
"129902","FORNEY ISD"
"114904","FORSAN ISD"
"079907","FORT BEND ISD"
"242906","FORT ELLIOTT CISD"
"186902","FORT STOCKTON ISD"
"220809","FORT WORTH ACADEMY OF FINE ARTS"
"220804","FORT WORTH CAN ACADEMY"
"220905","FORT WORTH ISD"
"198903","FRANKLIN ISD"
"001904","FRANKSTON ISD"
"086901","FREDERICKSBURG ISD"
"066903","FREER ISD"
"152907","FRENSHIP ISD"
"084911","FRIENDSWOOD ISD"
"185903","FRIONA ISD"
"043905","FRISCO ISD"
"175905","FROST ISD"
"234909","FRUITVALE ISD"
"122901","FT DAVIS ISD"
"115901","FT HANCOCK ISD"
"015914","FT SAM HOUSTON ISD"
"232801","GABRIEL TAFOLLA ACADEMY"
"049901","GAINESVILLE ISD"
"101910","GALENA PARK ISD"
"084902","GALVESTON ISD"
"120902","GANADO ISD"
"057909","GARLAND ISD"
"184911","GARNER ISD"
"174903","GARRISON ISD"
"183904","GARY ISD"
"050902","GATESVILLE ISD"
"240801","GATEWAY (STUDENT ALTERNATIVE PROGR"
"057831","GATEWAY CHARTER ACADEMY"
"166902","GAUSE ISD"
"015802","GEORGE GERVIN ACADEMY"
"101804","GEORGE I SANCHEZ CHARTER"
"149901","GEORGE WEST ISD"
"246904","GEORGETOWN ISD"
"161925","GHOLSON ISD"
"144901","GIDDINGS ISD"
"230902","GILMER ISD"
"101805","GIRLS & BOYS PREPARATORY ACADEMY"
"092901","GLADEWATER ISD"
"087901","GLASSCOCK COUNTY ISD"
"213901","GLEN ROSE ISD"
"126911","GODLEY ISD"
"169906","GOLD BURG ISD"
"057835","GOLDEN RULE CHARTER SCHOOL"
"167901","GOLDTHWAITE ISD"
"088902","GOLIAD ISD"
"089901","GONZALES ISD"
"187903","GOODRICH ISD"
"101911","GOOSE CREEK CISD"
"182901","GORDON ISD"
"067904","GORMAN ISD"
"156905","GRADY ISD"
"182902","GRAFORD ISD"
"252901","GRAHAM ISD"
"111901","GRANBURY ISD"
"057910","GRAND PRAIRIE ISD"
"234904","GRAND SALINE ISD"
"238904","GRANDFALLS-ROYALTY ISD"
"126904","GRANDVIEW ISD"
"090905","GRANDVIEW-HOPKINS ISD"
"246905","GRANGER ISD"
"226907","GRAPE CREEK ISD"
"113902","GRAPELAND ISD"
"220906","GRAPEVINE-COLLEYVILLE ISD"
"116905","GREENVILLE ISD"
"165902","GREENWOOD ISD"
"205902","GREGORY-PORTLAND ISD"
"147902","GROESBECK ISD"
"033901","GROOM ISD"
"228901","GROVETON ISD"
"098901","GRUVER ISD"
"091917","GUNTER ISD"
"047903","GUSTINE ISD"
"135001","GUTHRIE CSD"
"095903","HALE CENTER ISD"
"143901","HALLETTSVILLE ISD"
"161924","HALLSBURG ISD"
"102904","HALLSVILLE ISD"
"097902","HAMILTON ISD"
"127903","HAMLIN ISD"
"123914","HAMSHIRE-FANNETT ISD"
"219901","HAPPY ISD"
"146904","HARDIN ISD"
"100905","HARDIN-JEFFERSON ISD"
"015904","HARLANDALE ISD"
"102905","HARLETON ISD"
"031903","HARLINGEN CISD"
"230905","HARMONY ISD"
"101858","HARMONY SCHOOL OF EXCELLENCE"
"101862","HARMONY SCHOOL OF SCIENCE - HOUSTO"
"071806","HARMONY SCIENCE ACAD (EL PASO)"
"220813","HARMONY SCIENCE ACAD (FORT WORTH)"
"152805","HARMONY SCIENCE ACAD (LUBBOCK)"
"015828","HARMONY SCIENCE ACAD (SAN ANTONIO)"
"161807","HARMONY SCIENCE ACAD (WACO)"
"101846","HARMONY SCIENCE ACADEMY"
"227816","HARMONY SCIENCE ACADEMY (AUSTIN)"
"031803","HARMONY SCIENCE ACADEMY - BROWNSVI"
"240804","HARMONY SCIENCE ACADEMY - LAREDO"
"086902","HARPER ISD"
"244901","HARROLD ISD"
"035902","HART ISD"
"103902","HARTLEY ISD"
"225907","HARTS BLUFF ISD"
"104901","HASKELL CISD"
"250902","HAWKINS ISD"
"127904","HAWLEY ISD"
"105906","HAYS CISD"
"198905","HEARNE ISD"
"065902","HEDLEY ISD"
"202903","HEMPHILL ISD"
"237902","HEMPSTEAD ISD"
"201902","HENDERSON ISD"
"039902","HENRIETTA ISD"
"015833","HENRY FORD ACADEMY ALAMEDA SCHOOL"
"059901","HEREFORD ISD"
"208901","HERMLEIGH ISD"
"097903","HICO ISD"
"108905","HIDALGO ISD"
"148903","HIGGINS ISD"
"015803","HIGGS CARTER KING GIFTED & TALENTE"
"084903","HIGH ISLAND ISD"
"177905","HIGHLAND ISD"
"057911","HIGHLAND PARK ISD"
"188903","HIGHLAND PARK ISD"
"109904","HILLSBORO ISD"
"084908","HITCHCOCK ISD"
"014905","HOLLAND ISD"
"005902","HOLLIDAY ISD"
"163904","HONDO ISD"
"074907","HONEY GROVE ISD"
"057825","HONORS ACADEMY"
"019902","HOOKS ISD"
"101812","HOUSTON CAN ACADEMY CHARTER SCHOOL"
"101828","HOUSTON GATEWAY ACADEMY INC"
"101821","HOUSTON HEIGHTS HIGH SCHOOL"
"101829","HOUSTON HEIGHTS LEARNING ACADEMY I"
"101912","HOUSTON ISD"
"091905","HOWE ISD"
"019913","HUBBARD ISD"
"109905","HUBBARD ISD"
"072908","HUCKABAY ISD"
"003902","HUDSON ISD"
"101925","HUFFMAN ISD"
"034903","HUGHES SPRINGS ISD"
"146905","HULL-DAISETTA ISD"
"101913","HUMBLE ISD"
"133902","HUNT ISD"
"003904","HUNTINGTON ISD"
"236902","HUNTSVILLE ISD"
"220916","HURST-EULESS-BEDFORD ISD"
"246906","HUTTO ISD"
"152910","IDALOU ISD"
"108807","IDEA PUBLIC SCHOOLS"
"120905","INDUSTRIAL ISD"
"108801","INFORMATION REFERRAL RESOURCE ASSI"
"205903","INGLESIDE ISD"
"133904","INGRAM ISD"
"057830","INSPIRED VISION ACADEMY"
"093903","IOLA ISD"
"243903","IOWA PARK CISD"
"208903","IRA ISD"
"186903","IRAAN-SHEFFIELD ISD"
"018906","IREDELL ISD"
"118902","IRION COUNTY ISD"
"057912","IRVING ISD"
"070907","ITALY ISD"
"109907","ITASCA ISD"
"119902","JACKSBORO ISD"
"037904","JACKSONVILLE ISD"
"101822","JAMIE'S HOUSE CHARTER SCHOOL"
"246907","JARRELL ISD"
"121904","JASPER ISD"
"132902","JAYTON-GIRARD ISD"
"057819","JEAN MASSIEU ACADEMY"
"155901","JEFFERSON ISD"
"124901","JIM HOGG COUNTY ISD"
"221911","JIM NED CISD"
"210902","JOAQUIN ISD"
"015808","JOHN H WOOD JR PUBLIC CHARTER DIST"
"016901","JOHNSON CITY ISD"
"050909","JONESBORO ISD"
"126905","JOSHUA ISD"
"007902","JOURDANTON ISD"
"101852","JUAN B GALAVIZ CHARTER SCHOOL"
"015822","JUBILEE ACADEMIC CENTER"
"015916","JUDSON ISD"
"134901","JUNCTION ISD"
"102901","KARNACK ISD"
"128901","KARNES CITY ISD"
"105801","KATHERINE ANNE PORTER SCHOOL"
"101914","KATY ISD"
"129903","KAUFMAN ISD"
"126906","KEENE ISD"
"220907","KELLER ISD"
"242905","KELTON ISD"
"129904","KEMP ISD"
"131001","KENEDY COUNTY WIDE CSD"
"128902","KENEDY ISD"
"113906","KENNARD ISD"
"220914","KENNEDALE ISD"
"175907","KERENS ISD"
"248901","KERMIT ISD"
"133903","KERRVILLE ISD"
"092902","KILGORE ISD"
"014906","KILLEEN ISD"
"137901","KINGSVILLE ISD"
"227820","KIPP AUSTIN PUBLIC SCHOOLS INC"
"101813","KIPP INC CHARTER"
"015826","KIPP SAN ANTONIO"
"101860","KIPP SOUTHEAST HOUSTON"
"057837","KIPP TRUTH ACADEMY"
"121905","KIRBYVILLE CISD"
"101915","KLEIN ISD"
"058905","KLONDIKE ISD"
"232901","KNIPPA ISD"
"138902","KNOX CITY-O'BRIEN CISD"
"101863","KOINONIA COMMUNITY LEARNING ACADEM"
"018907","KOPPERL ISD"
"100903","KOUNTZE ISD"
"219905","KRESS ISD"
"061905","KRUM ISD"
"057839","LA ACADEMIA DE ESTRELLAS"
"101833","LA AMISTAD LOVE & LEARNING ACADEMY"
"071807","LA FE PREPARATORY SCHOOL"
"031905","LA FERIA ISD"
"125906","LA GLORIA ISD"
"075902","LA GRANGE ISD"
"108912","LA JOYA ISD"
"084904","LA MARQUE ISD"
"101916","LA PORTE ISD"
"254902","LA PRYOR ISD"
"161906","LA VEGA ISD"
"247903","LA VERNIA ISD"
"108914","LA VILLA ISD"
"015913","LACKLAND ISD"
"227912","LAGO VISTA ISD"
"061912","LAKE DALLAS ISD"
"227913","LAKE TRAVIS ISD"
"220910","LAKE WORTH ISD"
"079901","LAMAR CISD"
"058906","LAMESA ISD"
"141901","LAMPASAS ISD"
"057913","LANCASTER ISD"
"201903","LANEVILLE ISD"
"107910","LAPOYNOR ISD"
"240901","LAREDO ISD"
"245901","LASARA ISD"
"113905","LATEXO ISD"
"185904","LAZBUDDIE ISD"
"061804","LEADERSHIP PREP SCHOOL"
"193902","LEAKEY ISD"
"246913","LEANDER ISD"
"019914","LEARY ISD"
"090902","LEFORS ISD"
"187906","LEGGETT ISD"
"145911","LEON ISD"
"074909","LEONARD ISD"
"110902","LEVELLAND ISD"
"201904","LEVERETTS CHAPEL ISD"
"061902","LEWISVILLE ISD"
"144902","LEXINGTON ISD"
"246908","LIBERTY HILL ISD"
"146906","LIBERTY ISD"
"019908","LIBERTY-EYLAU ISD"
"057807","LIFE SCHOOL"
"015825","LIGHTHOUSE CHARTER SCHOOL"
"212903","LINDALE ISD"
"034905","LINDEN-KILDARE CISD"
"049907","LINDSAY ISD"
"072909","LINGLEVILLE ISD"
"111902","LIPAN ISD"
"181908","LITTLE CYPRESS-MAURICEVILLE CISD"
"061914","LITTLE ELM ISD"
"140904","LITTLEFIELD ISD"
"187907","LIVINGSTON ISD"
"150901","LLANO ISD"
"028902","LOCKHART ISD"
"077902","LOCKNEY ISD"
"160905","LOHN ISD"
"141902","LOMETA ISD"
"178906","LONDON ISD"
"116906","LONE OAK ISD"
"092903","LONGVIEW ISD"
"083902","LOOP ISD"
"168902","LORAINE ISD"
"161907","LORENA ISD"
"054902","LORENZO ISD"
"031906","LOS FRESNOS CISD"
"241906","LOUISE ISD"
"043919","LOVEJOY ISD"
"113903","LOVELADY ISD"
"152901","LUBBOCK ISD"
"152906","LUBBOCK-COOPER ISD"
"127905","LUEDERS-AVOCA ISD"
"003903","LUFKIN ISD"
"028903","LULING ISD"
"100907","LUMBERTON ISD"
"245902","LYFORD CISD"
"007904","LYTLE ISD"
"129905","MABANK ISD"
"154901","MADISONVILLE CISD"
"170906","MAGNOLIA ISD"
"084801","MAINLAND PREPARATORY ACADEMY"
"107906","MALAKOFF ISD"
"109908","MALONE ISD"
"019910","MALTA ISD"
"057844","MANARA ACADEMY"
"227907","MANOR ISD"
"220908","MANSFIELD ISD"
"022902","MARATHON ISD"
"027904","MARBLE FALLS ISD"
"189901","MARFA ISD"
"094904","MARION ISD"
"073903","MARLIN ISD"
"102902","MARSHALL ISD"
"161908","MART ISD"
"234905","MARTINS MILL ISD"
"174909","MARTINSVILLE ISD"
"157901","MASON ISD"
"158904","MATAGORDA ISD"
"205904","MATHIS ISD"
"019903","MAUD ISD"
"025905","MAY ISD"
"070915","MAYPEARL ISD"
"108906","MCALLEN ISD"
"231901","MCCAMEY ISD"
"011905","MCDADE ISD"
"161909","MCGREGOR ISD"
"043907","MCKINNEY ISD"
"090903","MCLEAN ISD"
"034906","MCLEOD ISD"
"162904","MCMULLEN COUNTY ISD"
"223902","MEADOW ISD"
"130801","MEADOWLAND CHARTER SCHOOL"
"101801","MEDICAL CENTER CHARTER SCHOOL"
"010901","MEDINA ISD"
"163908","MEDINA VALLEY ISD"
"043908","MELISSA ISD"
"096904","MEMPHIS ISD"
"164901","MENARD ISD"
"108907","MERCEDES ISD"
"018902","MERIDIAN ISD"
"246801","MERIDIAN WORLD SCHOOL LLC"
"221904","MERKEL ISD"
"057914","MESQUITE ISD"
"147903","MEXIA ISD"
"101855","MEYERPARK ELEMENTARY"
"062906","MEYERSVILLE ISD"
"197902","MIAMI ISD"
"108804","MID-VALLEY ACADEMY"
"165802","MIDLAND ACADEMY CHARTER SCHOOL"
"165901","MIDLAND ISD"
"070908","MIDLOTHIAN ISD"
"039905","MIDWAY ISD"
"161903","MIDWAY ISD"
"166903","MILANO ISD"
"175910","MILDRED ISD"
"200902","MILES ISD"
"070909","MILFORD ISD"
"112907","MILLER GROVE ISD"
"184904","MILLSAP ISD"
"250903","MINEOLA ISD"
"182903","MINERAL WELLS ISD"
"108908","MISSION CISD"
"238902","MONAHANS-WICKETT-PYOTE ISD"
"169908","MONTAGUE ISD"
"108915","MONTE ALTO ISD"
"170903","MONTGOMERY ISD"
"161910","MOODY ISD"
"209902","MORAN ISD"
"018903","MORGAN ISD"
"072910","MORGAN MILL ISD"
"040901","MORTON ISD"
"173901","MOTLEY COUNTY ISD"
"143902","MOULTON ISD"
"109910","MOUNT CALM ISD"
"201907","MOUNT ENTERPRISE ISD"
"225902","MOUNT PLEASANT ISD"
"080901","MOUNT VERNON ISD"
"049902","MUENSTER ISD"
"009901","MULESHOE ISD"
"167902","MULLIN ISD"
"198906","MUMFORD ISD"
"138903","MUNDAY CISD"
"107908","MURCHISON ISD"
"174904","NACOGDOCHES ISD"
"163903","NATALIA ISD"
"094903","NAVARRO ISD"
"093904","NAVASOTA ISD"
"035903","NAZARETH ISD"
"001906","NECHES ISD"
"123905","NEDERLAND ISD"
"079906","NEEDVILLE ISD"
"019905","NEW BOSTON ISD"
"046901","NEW BRAUNFELS ISD"
"170908","NEW CANEY ISD"
"152902","NEW DEAL ISD"
"230906","NEW DIANA ISD"
"015805","NEW FRONTIERS CHARTER SCHOOL"
"153905","NEW HOME ISD"
"037908","NEW SUMMERFIELD ISD"
"236901","NEW WAVERLY ISD"
"252902","NEWCASTLE ISD"
"220817","NEWMAN INTERNATIONAL ACADEMY OF AR"
"176902","NEWTON ISD"
"089903","NIXON-SMILEY CISD"
"169902","NOCONA ISD"
"062902","NORDHEIM ISD"
"145906","NORMANGEE ISD"
"015910","NORTH EAST ISD"
"101909","NORTH FOREST ISD"
"112906","NORTH HOPKINS ISD"
"139911","NORTH LAMAR ISD"
"154903","NORTH ZULCH ISD"
"015915","NORTHSIDE ISD"
"244905","NORTHSIDE ISD"
"061911","NORTHWEST ISD"
"101848","NORTHWEST PREPARATORY"
"057809","NOVA ACADEMY"
"057827","NOVA ACADEMY (SOUTHEAST)"
"042906","NOVICE ISD"
"069902","NUECES CANYON CISD"
"235904","NURSERY ISD"
"227804","NYOS CHARTER SCHOOL"
"153903","O'DONNELL ISD"
"145907","OAKWOOD ISD"
"205905","ODEM-EDROY ISD"
"084802","ODYSSEY ACADEMY INC"
"050904","OGLESBY ISD"
"200906","OLFEN ISD"
"252903","OLNEY ISD"
"140905","OLTON ISD"
"187910","ONALASKA ISD"
"125903","ORANGE GROVE ISD"
"181905","ORANGEFIELD ISD"
"230903","ORE CITY ISD"
