CAMPUS,CAMPNAME,CFLALTED,CFLCHART,CNTYNAME,COUNTY,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION,REGNNAME
"003903044","LUFKIN MIDDLE","N","N","ANGELINA","003","LUFKIN ISD","003903","06 - 08","M"," "," ","07","REGION 07: KILGORE"
"003903120","ANDERSON EL","N","N","ANGELINA","003","LUFKIN ISD","003903","03 - 05","E"," "," ","07","REGION 07: KILGORE"
"003903121","BRANDON EL","N","N","ANGELINA","003","LUFKIN ISD","003903","03 - 05","E"," "," ","07","REGION 07: KILGORE"
"003903122","BROOKHOLLOW EL","N","N","ANGELINA","003","LUFKIN ISD","003903","03 - 05","E"," "," ","07","REGION 07: KILGORE"
"003903123","COSTON EL","N","N","ANGELINA","003","LUFKIN ISD","003903","03 - 05","E"," "," ","07","REGION 07: KILGORE"
"003903124","DUNBAR PRI","N","N","ANGELINA","003","LUFKIN ISD","003903","KG - 02","E","003903121","BRANDON EL","07","REGION 07: KILGORE"
"003903125","GARRETT PRI","N","N","ANGELINA","003","LUFKIN ISD","003903","PK - KG","E","003903121","BRANDON EL","07","REGION 07: KILGORE"
"003903126","HACKNEY PRI","N","N","ANGELINA","003","LUFKIN ISD","003903","PK - PK","E","003903000","LUFKIN ISD","07","REGION 07: KILGORE"
"003903127","HERTY PRI","N","N","ANGELINA","003","LUFKIN ISD","003903","EE - 02","E","003903123","COSTON EL","07","REGION 07: KILGORE"
"003903128","KURTH PRI","N","N","ANGELINA","003","LUFKIN ISD","003903","PK - 02","E","003903120","ANDERSON EL","07","REGION 07: KILGORE"
"003903129","SLACK EL","N","N","ANGELINA","003","LUFKIN ISD","003903","03 - 05","E"," "," ","07","REGION 07: KILGORE"
"003903130","TROUT PRI","N","N","ANGELINA","003","LUFKIN ISD","003903","PK - 02","E","003903122","BROOKHOLLOW EL","07","REGION 07: KILGORE"
"003903131","BURLEY PRI","N","N","ANGELINA","003","LUFKIN ISD","003903","KG - 02","E","003903129","SLACK EL","07","REGION 07: KILGORE"
"003903141","SPECIAL SERVICES","N","N","ANGELINA","003","LUFKIN ISD","003903","EE - 08","E"," "," ","07","REGION 07: KILGORE"
"003903201","JUVENILE DETENT CTR","N","N","ANGELINA","003","LUFKIN ISD","003903","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"003904001","HUNTINGTON H S","N","N","ANGELINA","003","HUNTINGTON ISD","003904","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"003904005","PRIDE ALTER SCH","Y","N","ANGELINA","003","HUNTINGTON ISD","003904","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"003904041","HUNTINGTON MIDDLE","N","N","ANGELINA","003","HUNTINGTON ISD","003904","06 - 08","M"," "," ","07","REGION 07: KILGORE"
"003904101","HUNTINGTON EL","N","N","ANGELINA","003","HUNTINGTON ISD","003904","EE - 03","E"," "," ","07","REGION 07: KILGORE"
"003904102","HUNTINGTON INT","N","N","ANGELINA","003","HUNTINGTON ISD","003904","04 - 05","E"," "," ","07","REGION 07: KILGORE"
"003905001","DIBOLL H S","N","N","ANGELINA","003","DIBOLL ISD","003905","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"003905004","STUBBLEFIELD LRN CTR","Y","N","ANGELINA","003","DIBOLL ISD","003905","10 - 12","S"," "," ","07","REGION 07: KILGORE"
"003905041","DIBOLL J H","N","N","ANGELINA","003","DIBOLL ISD","003905","07 - 08","M"," "," ","07","REGION 07: KILGORE"
"003905101","H G TEMPLE EL","N","N","ANGELINA","003","DIBOLL ISD","003905","KG - 03","E"," "," ","07","REGION 07: KILGORE"
"003905102","DIBOLL PRI","N","N","ANGELINA","003","DIBOLL ISD","003905","PK - PK","E","003905101","H G TEMPLE EL","07","REGION 07: KILGORE"
"003905103","H G TEMPLE INT","N","N","ANGELINA","003","DIBOLL ISD","003905","04 - 06","E"," "," ","07","REGION 07: KILGORE"
"003906001","ZAVALLA H S","N","N","ANGELINA","003","ZAVALLA ISD","003906","06 - 12","B"," "," ","07","REGION 07: KILGORE"
"003906004","STUBBLEFIELD LRN CTR","N","N","ANGELINA","003","ZAVALLA ISD","003906","11 - 11","S"," "," ","07","REGION 07: KILGORE"
"003906101","ZAVALLA EL","N","N","ANGELINA","003","ZAVALLA ISD","003906","PK - 05","E"," "," ","07","REGION 07: KILGORE"
"003907001","CENTRAL H S","N","N","ANGELINA","003","CENTRAL ISD","003907","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"003907004","STUBBLEFIELD LRN CTR","Y","N","ANGELINA","003","CENTRAL ISD","003907","11 - 12","S"," "," ","07","REGION 07: KILGORE"
"003907041","CENTRAL J H","N","N","ANGELINA","003","CENTRAL ISD","003907","05 - 08","M"," "," ","07","REGION 07: KILGORE"
"003907102","CENTRAL EL","N","N","ANGELINA","003","CENTRAL ISD","003907","EE - 04","E"," "," ","07","REGION 07: KILGORE"
"004901001","ROCKPORT-FULTON H S","N","N","ARANSAS","004","ARANSAS COUNTY ISD","004901","09 - 12","S"," "," ","02","REGION 02: CORPUS CHRISTI"
"004901041","ROCKPORT-FULTON MIDDLE","N","N","ARANSAS","004","ARANSAS COUNTY ISD","004901","06 - 08","M"," "," ","02","REGION 02: CORPUS CHRISTI"
"004901101","FULTON 4-5 LEARNING CENTER","N","N","ARANSAS","004","ARANSAS COUNTY ISD","004901","04 - 05","E"," "," ","02","REGION 02: CORPUS CHRISTI"
"004901102","LITTLE BAY PRI","N","N","ARANSAS","004","ARANSAS COUNTY ISD","004901","EE - KG","E","004901103","LIVE OAK 1-3 LEARNING CENTER","02","REGION 02: CORPUS CHRISTI"
"004901103","LIVE OAK 1-3 LEARNING CENTER","N","N","ARANSAS","004","ARANSAS COUNTY ISD","004901","01 - 03","E"," "," ","02","REGION 02: CORPUS CHRISTI"
"005901001","ARCHER CITY H S","N","N","ARCHER","005","ARCHER CITY ISD","005901","07 - 12","S"," "," ","09","REGION 09: WICHITA FALLS"
"005901101","ARCHER CITY EL","N","N","ARCHER","005","ARCHER CITY ISD","005901","PK - 06","E"," "," ","09","REGION 09: WICHITA FALLS"
"005902001","HOLLIDAY H S","N","N","ARCHER","005","HOLLIDAY ISD","005902","09 - 12","S"," "," ","09","REGION 09: WICHITA FALLS"
"005902041","HOLLIDAY MIDDLE","N","N","ARCHER","005","HOLLIDAY ISD","005902","06 - 08","M"," "," ","09","REGION 09: WICHITA FALLS"
"005902101","HOLLIDAY EL","N","N","ARCHER","005","HOLLIDAY ISD","005902","EE - 05","E"," "," ","09","REGION 09: WICHITA FALLS"
"005904001","WINDTHORST H S","N","N","ARCHER","005","WINDTHORST ISD","005904","09 - 12","S"," "," ","09","REGION 09: WICHITA FALLS"
"005904041","WINDTHORST JH","N","N","ARCHER","005","WINDTHORST ISD","005904","06 - 08","M"," "," ","09","REGION 09: WICHITA FALLS"
"005904101","WINDTHORST EL","N","N","ARCHER","005","WINDTHORST ISD","005904","PK - 05","E"," "," ","09","REGION 09: WICHITA FALLS"
"006902001","CLAUDE H S","N","N","ARMSTRONG","006","CLAUDE ISD","006902","06 - 12","B"," "," ","16","REGION 16: AMARILLO"
"006902101","CLAUDE EL","N","N","ARMSTRONG","006","CLAUDE ISD","006902","EE - 05","E"," "," ","16","REGION 16: AMARILLO"
"007901001","CHARLOTTE H S","N","N","ATASCOSA","007","CHARLOTTE ISD","007901","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"007901041","CHARLOTTE MIDDLE","N","N","ATASCOSA","007","CHARLOTTE ISD","007901","05 - 08","M"," "," ","20","REGION 20: SAN ANTONIO"
"007901101","CHARLOTTE EL","N","N","ATASCOSA","007","CHARLOTTE ISD","007901","PK - 04","E"," "," ","20","REGION 20: SAN ANTONIO"
"007902001","JOURDANTON H S","N","N","ATASCOSA","007","JOURDANTON ISD","007902","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"007902005","ATASCOSA COUNTY JUVENILE JUSTICE C","N","N","ATASCOSA","007","JOURDANTON ISD","007902","08 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"007902006","JOURDANTON DAEP","N","N","ATASCOSA","007","JOURDANTON ISD","007902","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"007902041","JOURDANTON J H","N","N","ATASCOSA","007","JOURDANTON ISD","007902","06 - 08","M"," "," ","20","REGION 20: SAN ANTONIO"
"007902101","JOURDANTON EL","N","N","ATASCOSA","007","JOURDANTON ISD","007902","PK - 05","E"," "," ","20","REGION 20: SAN ANTONIO"
"007904001","LYTLE H S","N","N","ATASCOSA","007","LYTLE ISD","007904","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"007904002","LYTLE DAEP","N","N","ATASCOSA","007","LYTLE ISD","007904","09 - 09","S"," "," ","20","REGION 20: SAN ANTONIO"
"007904041","LYTLE J H","N","N","ATASCOSA","007","LYTLE ISD","007904","06 - 08","M"," "," ","20","REGION 20: SAN ANTONIO"
"007904101","LYTLE EL","N","N","ATASCOSA","007","LYTLE ISD","007904","02 - 05","E"," "," ","20","REGION 20: SAN ANTONIO"
"007904103","LYTLE PRIMARY SCHOOL","N","N","ATASCOSA","007","LYTLE ISD","007904","EE - 01","E","007904101","LYTLE EL","20","REGION 20: SAN ANTONIO"
"007905001","PLEASANTON H S","N","N","ATASCOSA","007","PLEASANTON ISD","007905","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"007905005","PLEASANTON ISD SCHOOL OF CHOICE","Y","N","ATASCOSA","007","PLEASANTON ISD","007905","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"007905041","PLEASANTON J H","N","N","ATASCOSA","007","PLEASANTON ISD","007905","07 - 08","M"," "," ","20","REGION 20: SAN ANTONIO"
"007905103","PLEASANTON EL","N","N","ATASCOSA","007","PLEASANTON ISD","007905","02 - 04","E"," "," ","20","REGION 20: SAN ANTONIO"
"007905104","PLEASANTON INT","N","N","ATASCOSA","007","PLEASANTON ISD","007905","05 - 06","M"," "," ","20","REGION 20: SAN ANTONIO"
"007905105","PLEASANTON PRI","N","N","ATASCOSA","007","PLEASANTON ISD","007905","EE - 01","E","007905103","PLEASANTON EL","20","REGION 20: SAN ANTONIO"
"007906001","POTEET H S","N","N","ATASCOSA","007","POTEET ISD","007906","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"007906041","POTEET J H","N","N","ATASCOSA","007","POTEET ISD","007906","06 - 08","M"," "," ","20","REGION 20: SAN ANTONIO"
"007906101","POTEET EL","N","N","ATASCOSA","007","POTEET ISD","007906","EE - 03","E"," "," ","20","REGION 20: SAN ANTONIO"
"007906102","POTEET INT","N","N","ATASCOSA","007","POTEET ISD","007906","04 - 05","E"," "," ","20","REGION 20: SAN ANTONIO"
"008901001","BELLVILLE H S","N","N","AUSTIN","008","BELLVILLE ISD","008901","09 - 12","S"," "," ","06","REGION 06: HUNTSVILLE"
"008901041","BELLVILLE J H","N","N","AUSTIN","008","BELLVILLE ISD","008901","06 - 08","M"," "," ","06","REGION 06: HUNTSVILLE"
"008901101","O'BRYANT PRI","N","N","AUSTIN","008","BELLVILLE ISD","008901","EE - 03","E"," "," ","06","REGION 06: HUNTSVILLE"
"008901102","O'BRYANT INT","N","N","AUSTIN","008","BELLVILLE ISD","008901","04 - 05","E"," "," ","06","REGION 06: HUNTSVILLE"
"008901105","WEST END EL","N","N","AUSTIN","008","BELLVILLE ISD","008901","KG - 05","E"," "," ","06","REGION 06: HUNTSVILLE"
"008902001","SEALY H S","N","N","AUSTIN","008","SEALY ISD","008902","09 - 12","S"," "," ","06","REGION 06: HUNTSVILLE"
"008902041","SEALY J H","N","N","AUSTIN","008","SEALY ISD","008902","06 - 08","M"," "," ","06","REGION 06: HUNTSVILLE"
"008902102","SELMAN EL","N","N","AUSTIN","008","SEALY ISD","008902","EE - 03","E"," "," ","06","REGION 06: HUNTSVILLE"
"008902103","SELMAN INT","N","N","AUSTIN","008","SEALY ISD","008902","04 - 05","E"," "," ","06","REGION 06: HUNTSVILLE"
"008903001","BRAZOS H S","N","N","AUSTIN","008","BRAZOS ISD","008903","09 - 12","S"," "," ","06","REGION 06: HUNTSVILLE"
"008903041","BRAZOS MIDDLE","N","N","AUSTIN","008","BRAZOS ISD","008903","06 - 08","M"," "," ","06","REGION 06: HUNTSVILLE"
"008903102","BRAZOS EL","N","N","AUSTIN","008","BRAZOS ISD","008903","PK - 05","E"," "," ","06","REGION 06: HUNTSVILLE"
"008903103","PRAIRIE HARBOR ALTERNATIVE SCHOOL","N","N","AUSTIN","008","BRAZOS ISD","008903","07 - 11","S"," "," ","06","REGION 06: HUNTSVILLE"
"009901001","MULESHOE H S","N","N","BAILEY","009","MULESHOE ISD","009901","09 - 12","S"," "," ","17","REGION 17: LUBBOCK"
"009901002","P E P","N","N","BAILEY","009","MULESHOE ISD","009901","09 - 12","S"," "," ","17","REGION 17: LUBBOCK"
"009901041","WATSON J H","N","N","BAILEY","009","MULESHOE ISD","009901","06 - 08","M"," "," ","17","REGION 17: LUBBOCK"
"009901101","MARY DESHAZO EL","N","N","BAILEY","009","MULESHOE ISD","009901","03 - 05","E"," "," ","17","REGION 17: LUBBOCK"
"009901103","DILLMAN EL","N","N","BAILEY","009","MULESHOE ISD","009901","EE - 02","E","009901101","MARY DESHAZO EL","17","REGION 17: LUBBOCK"
"010901001","MEDINA SCHOOL","N","N","BANDERA","010","MEDINA ISD","010901","EE - 12","B"," "," ","20","REGION 20: SAN ANTONIO"
"010902001","BANDERA H S","N","N","BANDERA","010","BANDERA ISD","010902","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"010902041","BANDERA MIDDLE","N","N","BANDERA","010","BANDERA ISD","010902","06 - 08","M"," "," ","20","REGION 20: SAN ANTONIO"
"010902101","ALKEK EL","N","N","BANDERA","010","BANDERA ISD","010902","EE - 05","E"," "," ","20","REGION 20: SAN ANTONIO"
"010902102","HILL COUNTRY EL","N","N","BANDERA","010","BANDERA ISD","010902","PK - 05","E"," "," ","20","REGION 20: SAN ANTONIO"
"011901001","BASTROP H S","N","N","BASTROP","011","BASTROP ISD","011901","09 - 12","S"," "," ","13","REGION 13: AUSTIN"
"011901002","CEDAR CREEK H S","N","N","BASTROP","011","BASTROP ISD","011901","09 - 12","S"," "," ","13","REGION 13: AUSTIN"
"011901005","COLORADO RIVER COLLEGIATE ACADEMY","N","N","BASTROP","011","BASTROP ISD","011901","09 - 10","S"," "," ","13","REGION 13: AUSTIN"
"011901022","GENESIS H S","Y","N","BASTROP","011","BASTROP ISD","011901","09 - 12","S"," "," ","13","REGION 13: AUSTIN"
"011901033","GATEWAY SCH","N","N","BASTROP","011","BASTROP ISD","011901","06 - 12","B"," "," ","13","REGION 13: AUSTIN"
"011901041","BASTROP MIDDLE","N","N","BASTROP","011","BASTROP ISD","011901","07 - 08","M"," "," ","13","REGION 13: AUSTIN"
"011901101","EMILE EL","N","N","BASTROP","011","BASTROP ISD","011901","EE - 04","E"," "," ","13","REGION 13: AUSTIN"
"011901102","MINA EL","N","N","BASTROP","011","BASTROP ISD","011901","EE - 04","E"," "," ","13","REGION 13: AUSTIN"
"011901103","CEDAR CREEK EL","N","N","BASTROP","011","BASTROP ISD","011901","PK - 04","E"," "," ","13","REGION 13: AUSTIN"
"011901104","BASTROP INT","N","N","BASTROP","011","BASTROP ISD","011901","05 - 06","M"," "," ","13","REGION 13: AUSTIN"
"011901106","CEDAR CREEK MIDDLE","N","N","BASTROP","011","BASTROP ISD","011901","07 - 08","M"," "," ","13","REGION 13: AUSTIN"
"011901107","RED ROCK EL","N","N","BASTROP","011","BASTROP ISD","011901","EE - 04","E"," "," ","13","REGION 13: AUSTIN"
"011901108","CEDAR CREEK INT","N","N","BASTROP","011","BASTROP ISD","011901","05 - 06","M"," "," ","13","REGION 13: AUSTIN"
"011901109","BLUEBONNET EL","N","N","BASTROP","011","BASTROP ISD","011901","PK - 04","E"," "," ","13","REGION 13: AUSTIN"
"011901110","LOST PINES EL","N","N","BASTROP","011","BASTROP ISD","011901","EE - 04","E"," "," ","13","REGION 13: AUSTIN"
"011902001","ELGIN H S","N","N","BASTROP","011","ELGIN ISD","011902","09 - 12","S"," "," ","13","REGION 13: AUSTIN"
"011902004","PHOENIX H S","Y","N","BASTROP","011","ELGIN ISD","011902","09 - 12","S"," "," ","13","REGION 13: AUSTIN"
"011902041","ELGIN MIDDLE","N","N","BASTROP","011","ELGIN ISD","011902","06 - 08","M"," "," ","13","REGION 13: AUSTIN"
"011902101","BOOKER T WASHINGTON EL","N","N","BASTROP","011","ELGIN ISD","011902","KG - 05","E"," "," ","13","REGION 13: AUSTIN"
"011902102","ELGIN EL","N","N","BASTROP","011","ELGIN ISD","011902","EE - 05","E"," "," ","13","REGION 13: AUSTIN"
"011902103","NEIDIG EL","N","N","BASTROP","011","ELGIN ISD","011902","KG - 05","E"," "," ","13","REGION 13: AUSTIN"
"011904002","SMITHVILLE H S","N","N","BASTROP","011","SMITHVILLE ISD","011904","09 - 12","S"," "," ","13","REGION 13: AUSTIN"
"011904041","SMITHVILLE J H","N","N","BASTROP","011","SMITHVILLE ISD","011904","06 - 08","M"," "," ","13","REGION 13: AUSTIN"
"011904101","SMITHVILLE EL","N","N","BASTROP","011","SMITHVILLE ISD","011904","03 - 05","E"," "," ","13","REGION 13: AUSTIN"
"011904102","BROWN PRI","N","N","BASTROP","011","SMITHVILLE ISD","011904","EE - 02","E","011904101","SMITHVILLE EL","13","REGION 13: AUSTIN"
"011905101","MCDADE ISD","N","N","BASTROP","011","MCDADE ISD","011905","PK - 08","E"," "," ","13","REGION 13: AUSTIN"
"012901001","SEYMOUR H S","N","N","BAYLOR","012","SEYMOUR ISD","012901","09 - 12","S"," "," ","09","REGION 09: WICHITA FALLS"
"012901042","SEYMOUR MIDDLE","N","N","BAYLOR","012","SEYMOUR ISD","012901","05 - 08","M"," "," ","09","REGION 09: WICHITA FALLS"
"012901101","SEYMOUR EL","N","N","BAYLOR","012","SEYMOUR ISD","012901","EE - 04","E"," "," ","09","REGION 09: WICHITA FALLS"
"013801101","ST MARY'S ACADEMY CHARTER SCHOOL","N","Y","BEE","013","ST MARY'S ACADEMY CHARTER SCHOOL","013801","KG - 06","E"," "," ","02","REGION 02: CORPUS CHRISTI"
"013901001","A C JONES H S","N","N","BEE","013","BEEVILLE ISD","013901","09 - 12","S"," "," ","02","REGION 02: CORPUS CHRISTI"
"013901041","MORENO J H","N","N","BEE","013","BEEVILLE ISD","013901","07 - 08","M"," "," ","02","REGION 02: CORPUS CHRISTI"
"013901101","R A HALL EL","N","N","BEE","013","BEEVILLE ISD","013901","03 - 04","E"," "," ","02","REGION 02: CORPUS CHRISTI"
"013901102","FADDEN-MCKEOWN-CHAMBLISS EL","N","N","BEE","013","BEEVILLE ISD","013901","01 - 02","E","013901101","R A HALL EL","02","REGION 02: CORPUS CHRISTI"
"013901104","THOMAS JEFFERSON INT","N","N","BEE","013","BEEVILLE ISD","013901","05 - 06","M"," "," ","02","REGION 02: CORPUS CHRISTI"
"013901105","HAMPTON-MORENO-DUGAT EARLY CHILDHO","N","N","BEE","013","BEEVILLE ISD","013901","EE - KG","E","013901101","R A HALL EL","02","REGION 02: CORPUS CHRISTI"
"013902101","PAWNEE EL / J H","N","N","BEE","013","PAWNEE ISD","013902","PK - 08","E"," "," ","02","REGION 02: CORPUS CHRISTI"
"013903001","PETTUS SECONDARY","N","N","BEE","013","PETTUS ISD","013903","06 - 12","B"," "," ","02","REGION 02: CORPUS CHRISTI"
"013903101","PETTUS EL","N","N","BEE","013","PETTUS ISD","013903","PK - 05","E"," "," ","02","REGION 02: CORPUS CHRISTI"
"013905001","SKIDMORE-TYNAN H S","N","N","BEE","013","SKIDMORE-TYNAN ISD","013905","09 - 12","S"," "," ","02","REGION 02: CORPUS CHRISTI"
"013905041","SKIDMORE-TYNAN J H","N","N","BEE","013","SKIDMORE-TYNAN ISD","013905","06 - 08","M"," "," ","02","REGION 02: CORPUS CHRISTI"
"013905101","SKIDMORE-TYNAN EL","N","N","BEE","013","SKIDMORE-TYNAN ISD","013905","KG - 05","E"," "," ","02","REGION 02: CORPUS CHRISTI"
"014801001","RICHARD MILBURN ALTER H S (KILLEEN","Y","Y","BELL","014","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"014801002","RICHARD MILBURN ACADEMY ODESSA","Y","Y","BELL","014","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"014801003","RICHARD MILBURN ACADEMY MIDLAND","Y","Y","BELL","014","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"014801004","RICHARD MILBURN ACADEMY LUBBOCK","Y","Y","BELL","014","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"014801005","RICHARD MILBURN ACADEMY HOUSTON (S","Y","Y","BELL","014","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"014801006","RICHARD MILBURN ACADEMY FORT WORTH","Y","Y","BELL","014","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"014801007","RICHARD MILBURN ACADEMY CORPUS CHR","Y","Y","BELL","014","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
"014801008","RICHARD MILBURN ACADEMY AMARILLO","Y","Y","BELL","014","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"," "," ","20","REGION 20: SAN ANTONIO"
