DISTNAME,CAMPNAME,CAMPUS,CLASS
ALDINE ISD,HAMBRICK MIDDLE,101902043,Middle
ALDINE ISD,HIDDEN VALLEY EL,101902106,Elementary
ALDINE ISD,HOFFMAN MIDDLE,101902046,Middle
ALDINE ISD,INWOOD EL,101902114,Elementary
ALDINE ISD,JOHNSON EL,101902116,Elementary
ALDINE ISD,LANE SCH,101902108,Both Elem/Sec
ALDINE ISD,MACARTHUR H S,101902003,Secondary
ALDINE ISD,MAGRILL EL,101902120,Elementary
ALDINE ISD,MENDEL EL,101902109,Elementary
ALDINE ISD,NIGHT H S,101902006,Secondary
ALDINE ISD,OLESON EL,101902111,Elementary
ALDINE ISD,ORANGE GROVE EL,101902112,Elementary
ALDINE ISD,PARKER INT,101902065,Middle
ALDINE ISD,PROJECT RECOVERY,101902009,Both Elem/Sec
ALDINE ISD,RAYMOND EL,101902113,Elementary
ALDINE ISD,RUBY REED INT,101902068,Middle
ALDINE ISD,SAMMONS EL,101902118,Elementary
ALDINE ISD,SHOTWELL MIDDLE,101902047,Middle
ALDINE ISD,STEHLIK INT,101902064,Middle
ALDINE ISD,STEPHENS EL,101902119,Elementary
ALDINE ISD,STOVALL EL,101902127,Elementary
ALDINE ISD,STOVALL MIDDLE,101902044,Middle
ALDINE ISD,T S GRANTHAM MIDDLE,101902048,Middle
ALDINE ISD,TEAGUE MIDDLE,101902045,Middle
ALDINE ISD,WILSON INT,101902067,Middle
ALDINE ISD,WORSHAM EL,101902110,Elementary
ALEDO ISD,ALEDO EL,184907102,Elementary
ALEDO ISD,ALEDO H S,184907001,Secondary
ALEDO ISD,ALEDO INT,184907101,Elementary
ALEDO ISD,ALEDO MIDDLE,184907041,Middle
ALICE ISD,ADAMS J H,125901043,Middle
ALICE ISD,ALICE H S,125901001,Secondary
ALICE ISD,DUBOSE MIDDLE,125901041,Middle
ALICE ISD,GARCIA EL,125901102,Elementary
ALICE ISD,HILLCREST EL,125901101,Elementary
ALICE ISD,MEMORIAL MIDDLE,125901042,Middle
ALICE ISD,NAYER EL,125901103,Elementary
ALICE ISD,NOONAN EL,125901104,Elementary
ALICE ISD,SAENZ EL,125901105,Elementary
ALICE ISD,SALAZAR EL,125901106,Elementary
ALICE ISD,SCHALLERT EL,125901107,Elementary
ALIEF ISD,A J MARTIN EL,101903103,Elementary
ALIEF ISD,ADMIN SERVICES,101903199,Both Elem/Sec
ALIEF ISD,ALBRIGHT MIDDLE,101903045,Middle
ALIEF ISD,ALIEF LEARNING CTR,101903005,Both Elem/Sec
ALIEF ISD,ALIEF MIDDLE,101903041,Middle
ALIEF ISD,BEST EL,101903118,Elementary
ALIEF ISD,BOONE EL,101903102,Elementary
ALIEF ISD,CHANCELLOR EL,101903108,Elementary
ALIEF ISD,CUMMINGS EL,101903112,Elementary
ALIEF ISD,DEBORAH ALEXANDER EL,101903114,Elementary
ALIEF ISD,DON P KILLOUGH MIDDLE,101903043,Middle
ALIEF ISD,DOUGLAS SMITH EL,101903105,Elementary
ALIEF ISD,E A OLLE MIDDLE,101903042,Middle
ALIEF ISD,ELSIK H S,101903002,Secondary
ALIEF ISD,FLEM REES EL,101903113,Elementary
ALIEF ISD,HASTINGS H S,101903001,Secondary
ALIEF ISD,HEARNE EL,101903115,Elementary
ALIEF ISD,HEFLIN EL,101903111,Elementary
ALIEF ISD,JAMES HOLUB MIDDLE,101903044,Middle
ALIEF ISD,KERR H S,101903006,Secondary
ALIEF ISD,KLENTZMAN INT,101903141,Middle
ALIEF ISD,LIESTMAN EL,101903109,Elementary
ALIEF ISD,MICHAEL KENNEDY EL,101903107,Elementary
ALIEF ISD,MILDRED V LANDIS EL,101903116,Elementary
ALIEF ISD,O'DONNELL MIDDLE,101903046,Middle
ALIEF ISD,OUTLEY EL,101903119,Elementary
ALIEF ISD,OWENS INT,101903140,Middle
ALIEF ISD,PETROSKY EL,101903110,Elementary
ALIEF ISD,SNEED EL,101903117,Elementary
ALIEF ISD,V G CHAMBERS EL,101903104,Elementary
ALIEF ISD,VIOLA MAHANAY EL,101903106,Elementary
ALIEF ISD,YOUENS EL,101903101,Elementary
ALLEN ISD,ALLEN H S,43901001,Secondary
ALLEN ISD,ALTON BOYD EL,43901102,Elementary
ALLEN ISD,ALVIS C STORY EL,43901105,Elementary
ALLEN ISD,D L ROUNTREE EL,43901101,Elementary
ALLEN ISD,FLOSSIE FLOYD GREEN EL,43901107,Elementary
ALLEN ISD,GENE M REED JR EL,43901104,Elementary
ALLEN ISD,MAX O VAUGHAN EL,43901106,Elementary
ALLEN ISD,W E PETE FORD MIDDLE,43901042,Middle
ALLEN ISD,WALTER & LOIS CURTIS MIDDLE,43901043,Middle
ALLISON ISD,ALLISON SCHOOL,242904001,Both Elem/Sec
ALPINE ISD,ALPINE EL,22901101,Elementary
ALPINE ISD,ALPINE H S,22901001,Secondary
ALPINE ISD,ALPINE J H,22901041,Middle
ALTO ISD,ALTO EL,37901101,Elementary
ALTO ISD,ALTO H S,37901001,Secondary
ALVARADO ISD,ALVARADO EL,126901101,Elementary
ALVARADO ISD,ALVARADO EL-NORTH,126901102,Elementary
ALVARADO ISD,ALVARADO H S,126901001,Secondary
ALVARADO ISD,ALVARADO MIDDLE,126901041,Middle
ALVARADO ISD,LILLIAN EL,126901103,Elementary
ALVIN ISD,ALVIN EL,20901101,Elementary
ALVIN ISD,ALVIN EVENING SCH,20901003,Secondary
ALVIN ISD,ALVIN H S,20901001,Both Elem/Sec
ALVIN ISD,ALVIN J H,20901041,Middle
ALVIN ISD,ALVIN PRI,20901102,Elementary
ALVIN ISD,ASSETS LEARNING CTR,20901044,Middle
ALVIN ISD,DAY STAR RESIDENTIAL,20901200,Both Elem/Sec
ALVIN ISD,E C MASON PRI,20901105,Elementary
ALVIN ISD,G W HARBY J H,20901043,Middle
ALVIN ISD,LONGFELLOW EL,20901104,Elementary
ALVIN ISD,MANVEL J H,20901042,Middle
ALVIN ISD,MARK TWAIN PRI,20901103,Elementary
ALVIN ISD,MELBA PASSMORE EL,20901108,Elementary
ALVIN ISD,R L STEVENSON EL,20901106,Elementary
ALVIN ISD,WALT DISNEY EL,20901107,Elementary
ALVORD ISD,ALVORD EL,249901101,Elementary
ALVORD ISD,ALVORD H S,249901001,Secondary
ALVORD ISD,ALVORD J H,249901041,Middle
AMARILLO ISD,AMARILLO CTR ADVANCED LRN,188901003,Secondary
AMARILLO ISD,AMARILLO H S,188901001,Secondary
AMARILLO ISD,AUSTIN MIDDLE,188901041,Middle
AMARILLO ISD,AVONDALE EL,188901101,Elementary
AMARILLO ISD,BELMAR EL,188901102,Elementary
AMARILLO ISD,BIVINS EL,188901103,Elementary
AMARILLO ISD,BONHAM MIDDLE,188901048,Middle
AMARILLO ISD,BOWIE MIDDLE,188901042,Middle
AMARILLO ISD,CAPROCK H S,188901002,Secondary
AMARILLO ISD,CARVER ACADEMY EL,188901170,Elementary
AMARILLO ISD,CORONADO EL,188901104,Elementary
AMARILLO ISD,CROCKETT MIDDLE,188901043,Middle
AMARILLO ISD,EASTRIDGE EL,188901105,Elementary
AMARILLO ISD,EMERSON EL,188901106,Elementary
AMARILLO ISD,FANNIN MIDDLE,188901044,Middle
AMARILLO ISD,FOREST HILL EL,188901107,Elementary
AMARILLO ISD,GLENWOOD EL,188901108,Elementary
AMARILLO ISD,HAMLET EL,188901109,Elementary
AMARILLO ISD,HOMEBOUND,188901171,Both Elem/Sec
AMARILLO ISD,HOUSTON MIDDLE,188901045,Middle
AMARILLO ISD,HUMPHREY'S HIGHLAND EL,188901111,Elementary
AMARILLO ISD,LAMAR EL,188901112,Elementary
AMARILLO ISD,LANDERGIN EL,188901113,Elementary
AMARILLO ISD,LAWNDALE EL,188901114,Elementary
AMARILLO ISD,LEE EL,188901115,Elementary
AMARILLO ISD,MANN MIDDLE,188901046,Middle
AMARILLO ISD,MESA VERDE EL,188901134,Elementary
AMARILLO ISD,NORTH HEIGHTS ALTER,188901138,Both Elem/Sec
AMARILLO ISD,OAK DALE EL,188901119,Elementary
AMARILLO ISD,OLSEN PARK EL,188901120,Elementary
AMARILLO ISD,PALO DURO H S,188901004,Secondary
AMARILLO ISD,PARAMOUNT TERRACE EL,188901121,Elementary
AMARILLO ISD,PLEASANT VALLEY EL,188901122,Elementary
AMARILLO ISD,PUCKETT EL,188901139,Elementary
AMARILLO ISD,REG PROG FOR DEAF,188901137,Elementary
AMARILLO ISD,RIDGECREST EL,188901123,Elementary
AMARILLO ISD,ROGERS EL,188901124,Elementary
AMARILLO ISD,SAN JACINTO EL,188901126,Elementary
AMARILLO ISD,SANBORN EL,188901125,Elementary
AMARILLO ISD,SLEEPY HOLLOW EL,188901140,Elementary
AMARILLO ISD,SOUTH GEORGIA EL,188901127,Elementary
AMARILLO ISD,SOUTH LAWN EL,188901128,Elementary
AMARILLO ISD,SUNRISE EL,188901130,Elementary
AMARILLO ISD,TASCOSA H S,188901005,Secondary
AMARILLO ISD,TRAVIS MIDDLE,188901047,Middle
AMARILLO ISD,WESTERN PLATEAU EL,188901131,Elementary
AMARILLO ISD,WHITTIER EL,188901132,Elementary
AMARILLO ISD,WILLS EL,188901133,Elementary
AMARILLO ISD,WINDSOR EL,188901141,Elementary
AMARILLO ISD,WOLFLIN EL,188901135,Elementary
AMHERST ISD,AMHERST SCHOOL,140901001,Both Elem/Sec
ANAHUAC ISD,ANAHUAC EL,36901101,Elementary
ANAHUAC ISD,ANAHUAC H S,36901001,Secondary
ANAHUAC ISD,ANAHUAC MIDDLE,36901041,Middle
ANDERSON-SHIRO CONS ISD,ANDERSON EL,93901101,Elementary
ANDERSON-SHIRO CONS ISD,ANDERSON JH/HS,93901001,Secondary
ANDREWS ISD,ANDREWS H S,2901001,Secondary
ANDREWS ISD,ANDREWS MIDDLE,2901041,Middle
ANDREWS ISD,CLEARFORK EL,2901105,Elementary
ANDREWS ISD,DEVONIAN EL,2901101,Elementary
ANDREWS ISD,GLORIETA EL,2901102,Elementary
ANDREWS ISD,SAN ANDRES EL,2901103,Elementary
ANDREWS ISD,UNDERWOOD EL,2901104,Elementary
ANGLETON ISD,ALTER CTR,20902002,Both Elem/Sec
ANGLETON ISD,ANGLETON H S,20902001,Secondary
ANGLETON ISD,ANGLETON MIDDLE-EAST,20902041,Middle
ANGLETON ISD,ANGLETON MIDDLE-WEST,20902042,Middle
ANGLETON ISD,EARLY CHILDHOOD CTR,20902101,Elementary
ANGLETON ISD,FRONTIER EL,20902109,Elementary
ANGLETON ISD,JUVENILE DETENT CTR,20902003,Secondary
ANGLETON ISD,NORTHSIDE EL,20902102,Both Elem/Sec
ANGLETON ISD,RANCHO ISABELLA EL,20902108,Elementary
ANGLETON ISD,SOUTHSIDE EL,20902103,Elementary
ANGLETON ISD,WESTSIDE EL,20902104,Elementary
ANNA ISD,ANNA EL,43902101,Elementary
ANNA ISD,ANNA H S,43902001,Secondary
ANNA ISD,ANNA MIDDLE,43902041,Middle
ANSON ISD,ANSON EL,127901101,Elementary
ANSON ISD,ANSON H S,127901001,Secondary
ANSON ISD,ANSON MIDDLE,127901041,Middle
ANSON ISD,HOBBS ALTER ED CO-OP,127901002,Secondary
ANTHONY ISD,ANTHONY EL,71906101,Elementary
ANTHONY ISD,ANTHONY H S,71906001,Secondary
ANTON ISD,ANTON EL,110901101,Elementary
ANTON ISD,ANTON H S,110901001,Secondary
APPLE SPRINGS ISD,APPLE SPRINGS EL,228905101,Elementary
APPLE SPRINGS ISD,APPLE SPRINGS H S,228905001,Both Elem/Sec
APPLE SPRINGS ISD,BOYS WILDERNESS SCH,228905041,Middle
AQUILLA ISD,AQUILLA SCHOOL,109912001,Both Elem/Sec
ARANSAS COUNTY ISD,FULTON EL,4901101,Elementary
ARANSAS COUNTY ISD,LIVEOAK EL,4901103,Elementary
ARANSAS COUNTY ISD,ROCKPORT EL,4901102,Elementary
ARANSAS COUNTY ISD,ROCKPORT INT,4901042,Middle
ARANSAS COUNTY ISD,ROCKPORT-FULTON H S,4901001,Secondary
ARANSAS COUNTY ISD,ROCKPORT-FULTON J H,4901041,Middle
ARANSAS PASS ISD,A C BLUNT MIDDLE,205901041,Middle
ARANSAS PASS ISD,ARANSAS PASS H S,205901001,Secondary
ARANSAS PASS ISD,FAULK EL,205901101,Elementary
ARANSAS PASS ISD,KIEBERGER EL,205901102,Elementary
ARANSAS PASS ISD,WALTER NOBLE EL,205901103,Elementary
ARCHER CITY ISD,ARCHER CITY EL,5901101,Elementary
ARCHER CITY ISD,ARCHER CITY H S,5901001,Both Elem/Sec
ARGYLE ISD,ARGYLE SCHOOL,61910101,Elementary
ARLINGTON ISD,ALTER CTR,220901008,Secondary
ARLINGTON ISD,AMOS EL,220901124,Elementary
ARLINGTON ISD,ARLINGTON H S,220901001,Secondary
ARLINGTON ISD,ATHERTON EL,220901132,Elementary
ARLINGTON ISD,BAILEY J H,220901045,Middle
ARLINGTON ISD,BARNETT J H,220901052,Middle
ARLINGTON ISD,BEBENSEE EL,220901141,Elementary
ARLINGTON ISD,BERRY EL,220901101,Elementary
ARLINGTON ISD,BLANTON EL,220901102,Elementary
ARLINGTON ISD,BOLES J H,220901051,Middle
ARLINGTON ISD,BOWIE H S,220901004,Secondary
ARLINGTON ISD,BRYANT EL,220901147,Elementary
ARLINGTON ISD,BUTLER EL,220901129,Elementary
ARLINGTON ISD,CARTER J H,220901041,Middle
ARLINGTON ISD,COREY EL,220901137,Elementary
ARLINGTON ISD,CROW EL,220901103,Elementary
ARLINGTON ISD,DAY CARE CTRS,220901300,Elementary
ARLINGTON ISD,DITTO EL,220901130,Elementary
ARLINGTON ISD,DUFF EL,220901104,Elementary
ARLINGTON ISD,DUNN EL,220901125,Elementary
ARLINGTON ISD,FITZGERALD EL,220901136,Elementary
ARLINGTON ISD,FOSTER EL,220901126,Elementary
ARLINGTON ISD,GOODMAN EL,220901119,Elementary
ARLINGTON ISD,GUNN J H,220901047,Middle
ARLINGTON ISD,HILL EL,220901117,Elementary
ARLINGTON ISD,HOMEBOUND,220901139,Both Elem/Sec
ARLINGTON ISD,HOUSTON H S,220901002,Secondary
ARLINGTON ISD,HUTCHESON J H,220901046,Middle
ARLINGTON ISD,J M FARRELL EL,220901143,Elementary
ARLINGTON ISD,JANE ELLIS EL,220901142,Elementary
ARLINGTON ISD,JOHNS EL,220901121,Elementary
ARLINGTON ISD,KEY EL,220901128,Elementary
ARLINGTON ISD,KOOKEN ED CTR,220901107,Elementary
ARLINGTON ISD,LAMAR H S,220901003,Secondary
ARLINGTON ISD,LITTLE EL,220901146,Elementary
ARLINGTON ISD,MARTIN H S,220901005,Secondary
ARLINGTON ISD,MARY MOORE EL,220901144,Elementary
ARLINGTON ISD,MILLER EL,220901135,Elementary
ARLINGTON ISD,MORTON EL,220901131,Elementary
ARLINGTON ISD,NICHOLS J H,220901053,Middle
ARLINGTON ISD,POPE EL,220901120,Elementary
ARLINGTON ISD,RANKIN EL,220901109,Elementary
ARLINGTON ISD,ROARK EL,220901110,Elementary
ARLINGTON ISD,ROQUEMORE EL,220901122,Elementary
ARLINGTON ISD,SHACKELFORD J H,220901048,Middle
ARLINGTON ISD,SHERROD EL,220901134,Elementary
ARLINGTON ISD,SHORT EL,220901123,Elementary
ARLINGTON ISD,SOUTH DAVIS EL,220901111,Elementary
ARLINGTON ISD,SPEER EL,220901112,Elementary
ARLINGTON ISD,STARRETT EL,220901140,Elementary
ARLINGTON ISD,SWIFT EL,220901113,Elementary
ARLINGTON ISD,THORNTON EL,220901114,Elementary
ARLINGTON ISD,TOMMIE WILLIAMS EL,220901145,Elementary
ARLINGTON ISD,TURNING POINT ALTER H S,220901007,Secondary
ARLINGTON ISD,TURNING POINT ALTER J H,220901054,Middle
ARLINGTON ISD,VENTURE ALTER H S,220901006,Secondary
ARLINGTON ISD,WEBB EL,220901148,Elementary
ARLINGTON ISD,WIMBISH EL,220901116,Elementary
ARLINGTON ISD,WOOD EL,220901133,Elementary
ARLINGTON ISD,WORKMAN J H,220901050,Middle
ARLINGTON ISD,YOUNG J H,220901049,Middle
ARP ISD,ARP EL,212901101,Elementary
ARP ISD,ARP H S,212901001,Secondary
ARP ISD,ARP J H,212901041,Middle
ASHERTON ISD,ASHERTON EL,64901103,Elementary
ASHERTON ISD,ASHERTON H S,64901001,Secondary
ASPERMONT ISD,ASPERMONT EL,217901101,Elementary
ASPERMONT ISD,ASPERMONT H S,217901001,Secondary
ASPERMONT ISD,ASPERMONT J H,217901041,Middle
ATHENS ISD,A L P H A,107901002,Secondary
ATHENS ISD,ATHENS H S,107901001,Secondary
ATHENS ISD,ATHENS INT,107901103,Elementary
ATHENS ISD,ATHENS MIDDLE,107901041,Middle
ATHENS ISD,BEL AIR EL,107901104,Elementary
ATHENS ISD,R C FISHER CAMPUS,107901105,Middle
ATHENS ISD,SOUTH ATHENS EL,107901102,Elementary
ATLANTA ISD,ATLANTA EL,34901106,Elementary
ATLANTA ISD,ATLANTA H S,34901001,Secondary
ATLANTA ISD,ATLANTA MIDDLE,34901042,Middle
ATLANTA ISD,ATLANTA PRI,34901107,Elementary
AUBREY ISD,AUBREY EL,61907101,Elementary
AUBREY ISD,AUBREY MIDDLE/H S,61907001,Both Elem/Sec
AUSTIN ISD,ALLAN EL,227901142,Elementary
AUSTIN ISD,ALLISON EL,227901101,Elementary
AUSTIN ISD,AMERICAN INSTITUTE-DAY,227901038,Secondary
AUSTIN ISD,AMERICAN INSTITUTE-NIGHT,227901039,Secondary
AUSTIN ISD,ANDERSON H S,227901009,Secondary
AUSTIN ISD,ANDREWS EL,227901102,Elementary
AUSTIN ISD,AUSTIN H S,227901002,Secondary
AUSTIN ISD,AUSTIN ST HOSPITAL,227901250,Both Elem/Sec
AUSTIN ISD,BAILEY MIDDLE,227901059,Middle
AUSTIN ISD,BAKER SEC SCHOOL,227901252,Both Elem/Sec
AUSTIN ISD,BARRINGTON EL,227901149,Elementary
AUSTIN ISD,BARTON HILLS EL,227901103,Elementary
AUSTIN ISD,BECKER EL,227901104,Elementary
AUSTIN ISD,BEDICHEK MIDDLE,227901054,Middle
AUSTIN ISD,BLACKSHEAR EL,227901105,Elementary
AUSTIN ISD,BLANTON EL,227901106,Elementary
AUSTIN ISD,BOONE EL,227901170,Elementary
AUSTIN ISD,BOWIE H S,227901013,Secondary
AUSTIN ISD,BRENTWOOD EL,227901107,Elementary
AUSTIN ISD,BROOKE EL,227901108,Elementary
AUSTIN ISD,BROWN EL,227901109,Elementary
AUSTIN ISD,BRYKER WOODS EL,227901110,Elementary
AUSTIN ISD,BURNET MIDDLE,227901046,Middle
AUSTIN ISD,CAMPBELL EL,227901111,Elementary
AUSTIN ISD,CASIS EL,227901112,Elementary
AUSTIN ISD,COOK EL,227901161,Elementary
AUSTIN ISD,COVINGTON MIDDLE,227901057,Middle
AUSTIN ISD,CROCKETT H S,227901008,Secondary
AUSTIN ISD,CUNNINGHAM EL,227901113,Elementary
AUSTIN ISD,DAVIS EL,227901179,Elementary
AUSTIN ISD,DAWSON EL,227901114,Elementary
AUSTIN ISD,DILL SPECIAL PROG,227901115,Elementary
AUSTIN ISD,DOBIE MIDDLE,227901055,Middle
AUSTIN ISD,DOSS EL,227901154,Elementary
AUSTIN ISD,FULMORE MIDDLE,227901043,Middle
AUSTIN ISD,GALINDO EL,227901176,Elementary
AUSTIN ISD,GOVALLE EL,227901116,Elementary
AUSTIN ISD,GRAHAM EL,227901159,Elementary
AUSTIN ISD,GULLETT EL,227901117,Elementary
AUSTIN ISD,HARRIS EL,227901118,Elementary
AUSTIN ISD,HIGHLAND PARK EL,227901119,Elementary
AUSTIN ISD,HILL EL,227901155,Elementary
AUSTIN ISD,HOMEBOUND,227901253,Both Elem/Sec
AUSTIN ISD,HOUSTON EL,227901162,Elementary
AUSTIN ISD,HUSTON-TILLOTSON GED,227901034,Secondary
AUSTIN ISD,JERRY CLIFTON CTR,227901258,Secondary
AUSTIN ISD,JOHNSON H S,227901010,Secondary
AUSTIN ISD,JOHNSTON H S,227901003,Secondary
AUSTIN ISD,JORDAN EL,227901178,Elementary
AUSTIN ISD,JOSLIN EL,227901120,Elementary
AUSTIN ISD,KEALING J H,227901044,Middle
AUSTIN ISD,KIKER EL,227901180,Elementary
AUSTIN ISD,KOCUREK EL,227901172,Elementary
AUSTIN ISD,LAMAR MIDDLE,227901045,Middle
AUSTIN ISD,LANGFORD EL,227901168,Elementary
AUSTIN ISD,LANIER H S,227901004,Secondary
AUSTIN ISD,LEE EL,227901121,Elementary
AUSTIN ISD,LINDER EL,227901160,Elementary
AUSTIN ISD,MAPLEWOOD EL,227901122,Elementary
AUSTIN ISD,MARTIN J H,227901051,Middle
AUSTIN ISD,MATHEWS EL,227901123,Elementary
AUSTIN ISD,MCCALLUM H S,227901005,Secondary
AUSTIN ISD,MENCHACA EL,227901147,Elementary
AUSTIN ISD,MENDEZ MIDDLE,227901058,Middle
AUSTIN ISD,METZ EL,227901124,Elementary
AUSTIN ISD,MURCHISON MIDDLE,227901052,Middle
AUSTIN ISD,NORMAN EL,227901150,Elementary
AUSTIN ISD,O HENRY MIDDLE,227901047,Middle
AUSTIN ISD,OAK HILL EL,227901148,Elementary
AUSTIN ISD,OAK SPRINGS EL,227901125,Elementary
AUSTIN ISD,ODOM EL,227901156,Elementary
AUSTIN ISD,ORTEGA EL,227901126,Elementary
AUSTIN ISD,PALM EL,227901171,Elementary
AUSTIN ISD,PATTON EL,227901143,Elementary
AUSTIN ISD,PEARCE MIDDLE,227901048,Middle
AUSTIN ISD,PEASE EL,227901128,Elementary
AUSTIN ISD,PECAN SPRINGS EL,227901129,Elementary
AUSTIN ISD,PILLOW EL,227901151,Elementary
AUSTIN ISD,PLEASANT HILL EL,227901130,Elementary
AUSTIN ISD,PORTER MIDDLE,227901049,Middle
AUSTIN ISD,R A Y S SCH,227901037,Secondary
AUSTIN ISD,REAGAN H S,227901006,Secondary
AUSTIN ISD,REILLY EL,227901132,Elementary
AUSTIN ISD,RIDGETOP EL,227901133,Elementary
AUSTIN ISD,ROBBINS ACAD,227901033,Secondary
AUSTIN ISD,ROSEDALE,227901251,Both Elem/Sec
AUSTIN ISD,SANCHEZ EL,227901127,Elementary
AUSTIN ISD,SIMS EL,227901139,Elementary
AUSTIN ISD,ST ELMO EL,227901136,Elementary
AUSTIN ISD,SUMMITT EL,227901138,Elementary
AUSTIN ISD,SUNSET VALLEY EL,227901158,Elementary
AUSTIN ISD,TRAVIS H S,227901007,Secondary
AUSTIN ISD,TRAVIS HTS EL,227901140,Elementary
AUSTIN ISD,TURMAN HOUSE,227901035,Secondary
AUSTIN ISD,WALNUT CREEK EL,227901141,Elementary
AUSTIN ISD,WEBB MIDDLE,227901053,Middle
AUSTIN ISD,WIDEN EL,227901175,Elementary
