DISTRICT,DISTNAME
"057912","IRVING ISD"
"057913","LANCASTER ISD"
"057914","MESQUITE ISD"
"057916","RICHARDSON ISD"
"057919","SUNNYVALE ISD"
"057922","COPPELL ISD"
"058902","DAWSON ISD"
"058905","KLONDIKE ISD"
"058906","LAMESA ISD"
"058909","SANDS CISD"
"059901","HEREFORD ISD"
"059902","WALCOTT ISD"
"060902","COOPER ISD"
"060914","FANNINDEL ISD"
"061802","NORTH TEXAS COLLEGIATE ACADEMY"
"061804","LEADERSHIP PREP SCHOOL"
"061901","DENTON ISD"
"061902","LEWISVILLE ISD"
"061903","PILOT POINT ISD"
"061905","KRUM ISD"
"061906","PONDER ISD"
"061907","AUBREY ISD"
"061908","SANGER ISD"
"061910","ARGYLE ISD"
"061911","NORTHWEST ISD"
"061912","LAKE DALLAS ISD"
"061914","LITTLE ELM ISD"
"062901","CUERO ISD"
"062902","NORDHEIM ISD"
"062903","YOAKUM ISD"
"062904","YORKTOWN ISD"
"062905","WESTHOFF ISD"
"062906","MEYERSVILLE ISD"
"063903","SPUR ISD"
"063906","PATTON SPRINGS ISD"
"064903","CARRIZO SPRINGS CISD"
"065901","CLARENDON ISD"
"065902","HEDLEY ISD"
"066005","RAMIREZ CSD"
"066901","BENAVIDES ISD"
"066902","SAN DIEGO ISD"
"066903","FREER ISD"
"067902","CISCO ISD"
"067903","EASTLAND ISD"
"067904","GORMAN ISD"
"067907","RANGER ISD"
"067908","RISING STAR ISD"
"068802","COMPASS ACADEMY CHARTER SCHOOL"
"068803","UTPB STEM ACADEMY"
"068901","ECTOR COUNTY ISD"
"069901","ROCKSPRINGS ISD"
"069902","NUECES CANYON CISD"
"070801","WAXAHACHIE FAITH FAMILY ACADEMY"
"070901","AVALON ISD"
"070903","ENNIS ISD"
"070905","FERRIS ISD"
"070907","ITALY ISD"
"070908","MIDLOTHIAN ISD"
"070909","MILFORD ISD"
"070910","PALMER ISD"
"070911","RED OAK ISD"
"070912","WAXAHACHIE ISD"
"070915","MAYPEARL ISD"
"071801","BURNHAM WOOD CHARTER SCHOOL DISTRI"
"071803","PASO DEL NORTE ACADEMY CHARTER DIS"
"071804","EL PASO ACADEMY"
"071806","HARMONY SCIENCE ACAD (EL PASO)"
"071807","LA FE PREPARATORY SCHOOL"
"071809","VISTA DEL FUTURO CHARTER SCHOOL"
"071810","EL PASO LEADERSHIP ACADEMY"
"071901","CLINT ISD"
"071902","EL PASO ISD"
"071903","FABENS ISD"
"071904","SAN ELIZARIO ISD"
"071905","YSLETA ISD"
"071906","ANTHONY ISD"
"071907","CANUTILLO ISD"
"071908","TORNILLO ISD"
"071909","SOCORRO ISD"
"072801","PREMIER HIGH SCHOOLS"
"072802","ERATH EXCELS ACADEMY INC"
"072901","THREE WAY ISD"
"072902","DUBLIN ISD"
"072903","STEPHENVILLE ISD"
"072904","BLUFF DALE ISD"
"072908","HUCKABAY ISD"
"072909","LINGLEVILLE ISD"
"072910","MORGAN MILL ISD"
"073901","CHILTON ISD"
"073903","MARLIN ISD"
"073904","WESTPHALIA ISD"
"073905","ROSEBUD-LOTT ISD"
"074903","BONHAM ISD"
"074904","DODD CITY ISD"
"074905","ECTOR ISD"
"074907","HONEY GROVE ISD"
"074909","LEONARD ISD"
"074911","SAVOY ISD"
"074912","TRENTON ISD"
"074917","SAM RAYBURN ISD"
"075901","FLATONIA ISD"
"075902","LA GRANGE ISD"
"075903","SCHULENBURG ISD"
"075906","FAYETTEVILLE ISD"
"075908","ROUND TOP-CARMINE ISD"
"076903","ROBY CISD"
"076904","ROTAN ISD"
"077901","FLOYDADA ISD"
"077902","LOCKNEY ISD"
"078901","CROWELL ISD"
"079901","LAMAR CISD"
"079906","NEEDVILLE ISD"
"079907","FORT BEND ISD"
"079910","STAFFORD MSD"
"080901","MOUNT VERNON ISD"
"081902","FAIRFIELD ISD"
"081904","TEAGUE ISD"
"081905","WORTHAM ISD"
"081906","DEW ISD"
"082902","DILLEY ISD"
"082903","PEARSALL ISD"
"083901","SEAGRAVES ISD"
"083902","LOOP ISD"
"083903","SEMINOLE ISD"
"084802","ODYSSEY ACADEMY INC"
"084804","AMBASSADORS PREPARATORY ACADEMY"
"084805","PREMIER LEARNING ACADEMY"
"084901","DICKINSON ISD"
"084902","GALVESTON ISD"
"084903","HIGH ISLAND ISD"
"084904","LA MARQUE ISD"
"084906","TEXAS CITY ISD"
"084908","HITCHCOCK ISD"
"084909","SANTA FE ISD"
"084910","CLEAR CREEK ISD"
"084911","FRIENDSWOOD ISD"
"085902","POST ISD"
"085903","SOUTHLAND ISD"
"086024","DOSS CONSOLIDATED CSD"
"086901","FREDERICKSBURG ISD"
"086902","HARPER ISD"
"087901","GLASSCOCK COUNTY ISD"
"088902","GOLIAD ISD"
"089901","GONZALES ISD"
"089903","NIXON-SMILEY CISD"
"089905","WAELDER ISD"
"090902","LEFORS ISD"
"090903","MCLEAN ISD"
"090904","PAMPA ISD"
"090905","GRANDVIEW-HOPKINS ISD"
"091901","BELLS ISD"
"091902","COLLINSVILLE ISD"
"091903","DENISON ISD"
"091905","HOWE ISD"
"091906","SHERMAN ISD"
"091907","TIOGA ISD"
"091908","VAN ALSTYNE ISD"
"091909","WHITESBORO ISD"
"091910","WHITEWRIGHT ISD"
"091913","POTTSBORO ISD"
"091914","S AND S CISD"
"091917","GUNTER ISD"
"091918","TOM BEAN ISD"
"092801","EAST TEXAS CHARTER SCHOOLS"
"092901","GLADEWATER ISD"
"092902","KILGORE ISD"
"092903","LONGVIEW ISD"
"092904","PINE TREE ISD"
"092906","SABINE ISD"
"092907","SPRING HILL ISD"
"092908","WHITE OAK ISD"
"093901","ANDERSON-SHIRO CISD"
"093903","IOLA ISD"
"093904","NAVASOTA ISD"
"093905","RICHARDS ISD"
"094901","SEGUIN ISD"
"094902","SCHERTZ-CIBOLO-U CITY ISD"
"094903","NAVARRO ISD"
"094904","MARION ISD"
"095901","ABERNATHY ISD"
"095902","COTTON CENTER ISD"
"095903","HALE CENTER ISD"
"095904","PETERSBURG ISD"
"095905","PLAINVIEW ISD"
"096904","MEMPHIS ISD"
"096905","TURKEY-QUITAQUE ISD"
"097902","HAMILTON ISD"
"097903","HICO ISD"
"098901","GRUVER ISD"
"098903","PRINGLE-MORSE CISD"
"098904","SPEARMAN ISD"
"099902","CHILLICOTHE ISD"
"099903","QUANAH ISD"
"100903","KOUNTZE ISD"
"100904","SILSBEE ISD"
"100905","HARDIN-JEFFERSON ISD"
"100907","LUMBERTON ISD"
"100908","WEST HARDIN COUNTY CISD"
"101802","SER-NINOS CHARTER SCHOOL"
"101803","ARISTOI CLASSICAL ACADEMY"
"101804","GEORGE I SANCHEZ CHARTER"
"101806","RAUL YZAGUIRRE SCHOOL FOR SUCCESS"
"101807","UNIVERSITY OF HOUSTON CHARTER SCHO"
"101810","ACADEMY OF ACCELERATED LEARNING IN"
"101811","EXCEL ACADEMY"
"101813","KIPP INC CHARTER"
"101814","THE VARNETT PUBLIC SCHOOL"
"101815","ALIEF MONTESSORI COMMUNITY SCHOOL"
"101819","AMIGOS POR VIDA-FRIENDS FOR LIFE P"
"101821","HOUSTON HEIGHTS HIGH SCHOOL"
"101828","HOUSTON GATEWAY ACADEMY INC"
"101829","HOUSTON HEIGHTS LEARNING ACADEMY I"
"101833","LA AMISTAD LOVE & LEARNING ACADEMY"
"101837","CALVIN NELMS CHARTER SCHOOLS"
"101838","SOUTHWEST SCHOOL"
"101840","TWO DIMENSIONS PREPARATORY ACADEMY"
"101842","COMQUEST ACADEMY"
"101845","YES PREP PUBLIC SCHOOLS INC"
"101846","HARMONY SCIENCE ACADEMY"
"101847","BEATRICE MAYES INSTITUTE CHARTER S"
"101849","ACCELERATED INTERMEDIATE ACADEMY"
"101850","ZOE LEARNING ACADEMY"
"101853","PROMISE COMMUNITY SCHOOL"
"101855","MEYERPARK ELEMENTARY"
"101856","DRAW ACADEMY"
"101858","HARMONY SCHOOL OF EXCELLENCE"
"101859","STEP CHARTER SCHOOL"
"101861","THE RHODES SCHOOL"
"101862","HARMONY SCHOOL OF SCIENCE - HOUSTO"
"101864","THE LAWSON ACADEMY"
"101865","VICTORY PREP"
"101866","GLOBAL LEARNING VILLAGE"
"101867","FALLBROOK COLLEGE PREPARATORY ACAD"
"101868","THE PRO-VISION ACADEMY"
"101869","C O R E ACADEMY"
"101870","BETA ACADEMY"
"101902","ALDINE ISD"
"101903","ALIEF ISD"
"101905","CHANNELVIEW ISD"
"101906","CROSBY ISD"
"101907","CYPRESS-FAIRBANKS ISD"
"101908","DEER PARK ISD"
"101910","GALENA PARK ISD"
"101911","GOOSE CREEK CISD"
"101912","HOUSTON ISD"
"101913","HUMBLE ISD"
"101914","KATY ISD"
"101915","KLEIN ISD"
"101916","LA PORTE ISD"
"101917","PASADENA ISD"
"101919","SPRING ISD"
"101920","SPRING BRANCH ISD"
"101921","TOMBALL ISD"
"101924","SHELDON ISD"
"101925","HUFFMAN ISD"
"102901","KARNACK ISD"
"102902","MARSHALL ISD"
"102903","WASKOM ISD"
"102904","HALLSVILLE ISD"
"102905","HARLETON ISD"
"102906","ELYSIAN FIELDS ISD"
"103901","CHANNING ISD"
"103902","HARTLEY ISD"
"104901","HASKELL CISD"
"104903","RULE ISD"
"104907","PAINT CREEK ISD"
"105801","KATHERINE ANNE PORTER SCHOOL"
"105802","TEXAS PREPARATORY SCHOOL"
"105803","KI CHARTER ACADEMY"
"105902","SAN MARCOS CISD"
"105904","DRIPPING SPRINGS ISD"
"105905","WIMBERLEY ISD"
"105906","HAYS CISD"
"106901","CANADIAN ISD"
"107901","ATHENS ISD"
"107902","BROWNSBORO ISD"
"107904","CROSS ROADS ISD"
"107905","EUSTACE ISD"
"107906","MALAKOFF ISD"
"107907","TRINIDAD ISD"
"107908","MURCHISON ISD"
"107910","LAPOYNOR ISD"
"108802","HORIZON MONTESSORI PUBLIC SCHOOLS"
"108804","MIDVALLEY ACADEMY CHARTER DISTRICT"
"108807","IDEA PUBLIC SCHOOLS"
"108808","VANGUARD ACADEMY"
"108809","EXCELLENCE IN LEADERSHIP ACADEMY"
"108902","DONNA ISD"
"108903","EDCOUCH-ELSA ISD"
"108904","EDINBURG CISD"
"108905","HIDALGO ISD"
"108906","MCALLEN ISD"
"108907","MERCEDES ISD"
"108908","MISSION CISD"
"108909","PHARR-SAN JUAN-ALAMO ISD"
"108910","PROGRESO ISD"
"108911","SHARYLAND ISD"
"108912","LA JOYA ISD"
"108913","WESLACO ISD"
"108914","LA VILLA ISD"
"108915","MONTE ALTO ISD"
"108916","VALLEY VIEW ISD"
"109901","ABBOTT ISD"
"109902","BYNUM ISD"
"109903","COVINGTON ISD"
"109904","HILLSBORO ISD"
"109905","HUBBARD ISD"
"109907","ITASCA ISD"
"109908","MALONE ISD"
"109910","MOUNT CALM ISD"
"109911","WHITNEY ISD"
"109912","AQUILLA ISD"
"109913","BLUM ISD"
"109914","PENELOPE ISD"
"110901","ANTON ISD"
"110902","LEVELLAND ISD"
"110905","ROPES ISD"
"110906","SMYER ISD"
"110907","SUNDOWN ISD"
"110908","WHITHARRAL ISD"
"111901","GRANBURY ISD"
"111902","LIPAN ISD"
"111903","TOLAR ISD"
"112901","SULPHUR SPRINGS ISD"
"112905","CUMBY ISD"
"112906","NORTH HOPKINS ISD"
"112907","MILLER GROVE ISD"
"112908","COMO-PICKTON CISD"
"112909","SALTILLO ISD"
"112910","SULPHUR BLUFF ISD"
"113901","CROCKETT ISD"
"113902","GRAPELAND ISD"
"113903","LOVELADY ISD"
"113905","LATEXO ISD"
"113906","KENNARD ISD"
"114901","BIG SPRING ISD"
"114902","COAHOMA ISD"
"114904","FORSAN ISD"
"115901","FT HANCOCK ISD"
"115902","SIERRA BLANCA ISD"
"115903","DELL CITY ISD"
"116901","CADDO MILLS ISD"
"116902","CELESTE ISD"
"116903","COMMERCE ISD"
"116905","GREENVILLE ISD"
"116906","LONE OAK ISD"
"116908","QUINLAN ISD"
"116909","WOLFE CITY ISD"
"116910","CAMPBELL ISD"
"116915","BLAND ISD"
"116916","BOLES ISD"
"117901","BORGER ISD"
"117903","SANFORD-FRITCH ISD"
"117904","PLEMONS-STINNETT-PHILLIPS CISD"
"117907","SPRING CREEK ISD"
"118902","IRION COUNTY ISD"
"119901","BRYSON ISD"
"119902","JACKSBORO ISD"
"119903","PERRIN-WHITT CISD"
"120901","EDNA ISD"
"120902","GANADO ISD"
"120905","INDUSTRIAL ISD"
"121902","BROOKELAND ISD"
"121903","BUNA ISD"
"121904","JASPER ISD"
"121905","KIRBYVILLE CISD"
"121906","EVADALE ISD"
"122901","FT DAVIS ISD"
"122902","VALENTINE ISD"
"123803","TEKOA ACADEMY OF ACCELERATED STUDI"
"123805","EHRHART SCHOOL"
"123807","BOB HOPE SCHOOL"
"123905","NEDERLAND ISD"
"123907","PORT ARTHUR ISD"
"123908","PORT NECHES-GROVES ISD"
"123910","BEAUMONT ISD"
"123913","SABINE PASS ISD"
"123914","HAMSHIRE-FANNETT ISD"
"124901","JIM HOGG COUNTY ISD"
"125901","ALICE ISD"
"125902","BEN BOLT-PALITO BLANCO ISD"
"125903","ORANGE GROVE ISD"
"125905","PREMONT ISD"
"125906","LA GLORIA ISD"
"126901","ALVARADO ISD"
"126902","BURLESON ISD"
"126903","CLEBURNE ISD"
"126904","GRANDVIEW ISD"
"126905","JOSHUA ISD"
"126906","KEENE ISD"
"126907","RIO VISTA ISD"
"126908","VENUS ISD"
"126911","GODLEY ISD"
"127901","ANSON ISD"
"127903","HAMLIN ISD"
"127904","HAWLEY ISD"
"127905","LUEDERS-AVOCA ISD"
"127906","STAMFORD ISD"
"128901","KARNES CITY ISD"
"128902","KENEDY ISD"
"128903","RUNGE ISD"
"128904","FALLS CITY ISD"
"129901","CRANDALL ISD"
"129902","FORNEY ISD"
"129903","KAUFMAN ISD"
"129904","KEMP ISD"
"129905","MABANK ISD"
"129906","TERRELL ISD"
"129910","SCURRY-ROSSER ISD"
"130801","MEADOWLAND CHARTER SCHOOL"
"130901","BOERNE ISD"
"130902","COMFORT ISD"
"131001","KENEDY COUNTY WIDE CSD"
"132902","JAYTON-GIRARD ISD"
"133901","CENTER POINT ISD"
"133902","HUNT ISD"
"133903","KERRVILLE ISD"
"133904","INGRAM ISD"
"133905","DIVIDE ISD"
"134901","JUNCTION ISD"
"135001","GUTHRIE CSD"
"136901","BRACKETT ISD"
"137901","KINGSVILLE ISD"
"137902","RICARDO ISD"
"137903","RIVIERA ISD"
"137904","SANTA GERTRUDIS ISD"
"138902","KNOX CITY-O'BRIEN CISD"
"138903","MUNDAY CISD"
"138904","BENJAMIN ISD"
"139905","CHISUM ISD"
"139908","ROXTON ISD"
"139909","PARIS ISD"
"139911","NORTH LAMAR ISD"
"139912","PRAIRILAND ISD"
"140901","AMHERST ISD"
"140904","LITTLEFIELD ISD"
"140905","OLTON ISD"
"140907","SPRINGLAKE-EARTH ISD"
"140908","SUDAN ISD"
"141901","LAMPASAS ISD"
"141902","LOMETA ISD"
"142901","COTULLA ISD"
"143901","HALLETTSVILLE ISD"
"143902","MOULTON ISD"
"143903","SHINER ISD"
"143904","VYSEHRAD ISD"
"143905","SWEET HOME ISD"
"143906","EZZELL ISD"
"144901","GIDDINGS ISD"
"144902","LEXINGTON ISD"
"144903","DIME BOX ISD"
"145901","BUFFALO ISD"
"145902","CENTERVILLE ISD"
"145906","NORMANGEE ISD"
"145907","OAKWOOD ISD"
"145911","LEON ISD"
"146901","CLEVELAND ISD"
"146902","DAYTON ISD"
"146903","DEVERS ISD"
"146904","HARDIN ISD"
"146905","HULL-DAISETTA ISD"
"146906","LIBERTY ISD"
"146907","TARKINGTON ISD"
"147901","COOLIDGE ISD"
"147902","GROESBECK ISD"
"147903","MEXIA ISD"
"148901","BOOKER ISD"
"148902","FOLLETT ISD"
"148903","HIGGINS ISD"
"148905","DARROUZETT ISD"
"149901","GEORGE WEST ISD"
"149902","THREE RIVERS ISD"
"150901","LLANO ISD"
"152802","RISE ACADEMY"
"152803","SOUTH PLAINS ACADEMY CHARTER DISTR"
"152901","LUBBOCK ISD"
"152902","NEW DEAL ISD"
"152903","SLATON ISD"
"152906","LUBBOCK-COOPER ISD"
"152907","FRENSHIP ISD"
"152908","ROOSEVELT ISD"
"152909","SHALLOWATER ISD"
"152910","IDALOU ISD"
"153903","O'DONNELL ISD"
"153904","TAHOKA ISD"
"153905","NEW HOME ISD"
"153907","WILSON ISD"
"154901","MADISONVILLE CISD"
"154903","NORTH ZULCH ISD"
"155901","JEFFERSON ISD"
"156902","STANTON ISD"
"156905","GRADY ISD"
"157901","MASON ISD"
"158901","BAY CITY ISD"
"158902","TIDEHAVEN ISD"
"158904","MATAGORDA ISD"
"158905","PALACIOS ISD"
"158906","VAN VLECK ISD"
"159901","EAGLE PASS ISD"
"160901","BRADY ISD"
"160904","ROCHELLE ISD"
"160905","LOHN ISD"
"161801","WACO CHARTER SCHOOL"
"161802","RAPOPORT ACADEMY PUBLIC SCHOOL"
"161807","HARMONY SCIENCE ACAD (WACO)"
"161901","CRAWFORD ISD"
"161903","MIDWAY ISD"
"161906","LA VEGA ISD"
"161907","LORENA ISD"
"161908","MART ISD"
"161909","MCGREGOR ISD"
"161910","MOODY ISD"
"161912","RIESEL ISD"
"161914","WACO ISD"
"161916","WEST ISD"
"161918","AXTELL ISD"
